Frame,Tiempo(s),NumVehiculos,Flujo(veh/min)_REAL,Velocidad(km/h)_REAL,LongitudCola(m),ICV_REAL,Clasificacion,Emergencia
189,6.31,32,150.00,9.92,23.93,0.6640,alto,No
190,6.34,32,150.00,10.00,23.93,0.6640,alto,No
191,6.37,28,144.00,9.98,23.94,0.6640,alto,No
192,6.41,33,144.00,10.00,23.93,0.6640,alto,No
193,6.44,31,150.00,9.89,22.05,0.6600,alto,No
194,6.47,27,156.00,9.85,19.96,0.6560,alto,No
195,6.51,26,150.00,10.09,23.88,0.6640,alto,No
196,6.54,28,150.00,10.02,23.87,0.6640,alto,No
197,6.57,29,144.00,9.80,23.87,0.6650,alto,No
198,6.61,25,144.00,9.66,23.86,0.6650,alto,No
199,6.64,27,138.00,9.80,23.85,0.6650,alto,No
200,6.67,28,138.00,9.74,23.84,0.6650,alto,No
201,6.71,30,138.00,9.81,23.83,0.6650,alto,No
202,6.74,30,144.00,9.96,23.83,0.6640,alto,No
203,6.77,30,138.00,9.80,24.28,0.6660,alto,No
204,6.81,33,144.00,9.79,24.24,0.6660,alto,No
205,6.84,30,132.00,9.75,23.75,0.6650,alto,No
206,6.87,30,138.00,9.81,21.43,0.6590,alto,No
207,6.91,27,138.00,9.78,21.38,0.6590,alto,No
208,6.94,30,132.00,9.44,22.95,0.6640,alto,No
209,6.97,28,138.00,9.49,22.93,0.6640,alto,No
210,7.01,28,138.00,9.51,24.93,0.6690,alto,No
211,7.04,29,138.00,9.45,23.30,0.6650,alto,No
212,7.07,29,138.00,9.34,23.82,0.6670,alto,No
213,7.11,27,138.00,9.31,23.31,0.6660,alto,No
214,7.14,27,126.00,9.12,23.82,0.6680,alto,No
215,7.17,26,120.00,9.27,23.82,0.6670,alto,No
216,7.21,26,126.00,9.25,23.81,0.6670,alto,No
217,7.24,26,126.00,9.58,23.79,0.6660,alto,No
218,7.27,25,126.00,9.65,23.80,0.6650,alto,No
219,7.31,26,126.00,9.68,23.79,0.6650,alto,No
220,7.34,26,126.00,9.81,23.79,0.6650,alto,No
221,7.37,28,120.00,9.35,23.78,0.6670,alto,No
222,7.41,28,126.00,9.42,23.77,0.6660,alto,No
223,7.44,29,132.00,9.60,23.77,0.6650,alto,No
224,7.47,33,120.00,9.92,23.76,0.6640,alto,No
225,7.51,31,120.00,9.65,24.45,0.6670,alto,No
226,7.54,31,120.00,9.90,25.33,0.6680,alto,No
227,7.57,33,138.00,9.95,25.09,0.6670,alto,No
228,7.61,33,144.00,9.69,25.00,0.6680,alto,No
229,7.64,30,150.00,9.50,24.91,0.6690,alto,No
230,7.67,29,162.00,9.60,24.24,0.6670,alto,No
231,7.71,31,162.00,9.59,24.16,0.6660,alto,No
232,7.74,31,162.00,9.52,25.42,0.6700,alto,No
233,7.77,30,156.00,9.24,24.50,0.6690,alto,No
234,7.81,29,162.00,9.17,24.40,0.6690,alto,No
235,7.84,32,168.00,9.84,24.25,0.6660,alto,No
236,7.87,27,168.00,9.77,24.14,0.6660,alto,No
237,7.91,31,168.00,9.79,24.09,0.6650,alto,No
238,7.94,30,162.00,9.70,24.83,0.6680,alto,No
239,7.97,30,168.00,10.02,24.74,0.6660,alto,No
240,8.01,31,162.00,9.85,24.65,0.6660,alto,No
241,8.04,35,162.00,9.86,24.55,0.6660,alto,No
242,8.07,32,162.00,9.64,24.51,0.6670,alto,No
243,8.11,31,162.00,9.54,24.44,0.6670,alto,No
244,8.14,28,162.00,9.43,24.37,0.6680,alto,No
245,8.17,29,156.00,9.03,24.33,0.6690,alto,No
246,8.21,31,150.00,8.79,24.29,0.6700,alto,No
247,8.24,32,150.00,8.78,24.25,0.6700,alto,No
248,8.27,27,150.00,8.46,24.18,0.6710,alto,No
249,8.31,27,156.00,8.71,19.33,0.6590,alto,No
250,8.34,26,156.00,8.84,21.10,0.6620,alto,No
251,8.38,24,156.00,8.86,19.23,0.6580,alto,No
252,8.41,26,156.00,8.92,19.17,0.6580,alto,No
253,8.44,25,150.00,8.56,19.11,0.6590,alto,No
254,8.48,23,144.00,8.49,19.07,0.6590,alto,No
255,8.51,27,144.00,8.66,21.82,0.6650,alto,No
256,8.54,26,150.00,8.75,23.83,0.6690,alto,No
257,8.58,26,144.00,8.56,21.69,0.6650,alto,No
258,8.61,24,144.00,8.55,20.69,0.6630,alto,No
259,8.64,26,144.00,8.35,21.07,0.6640,alto,No
260,8.68,25,144.00,8.39,20.98,0.6640,alto,No
261,8.71,26,144.00,8.43,20.84,0.6640,alto,No
262,8.74,26,156.00,8.59,21.57,0.6650,alto,No
263,8.78,25,156.00,8.73,22.91,0.6670,alto,No
264,8.81,28,156.00,8.83,21.42,0.6630,alto,No
265,8.84,30,156.00,8.74,21.32,0.6630,alto,No
266,8.88,29,150.00,8.53,21.30,0.6640,alto,No
267,8.91,29,156.00,8.54,21.22,0.6640,alto,No
268,8.94,28,150.00,8.36,21.13,0.6640,alto,No
269,8.98,31,162.00,8.37,23.18,0.6690,alto,No
270,9.01,30,162.00,8.34,23.11,0.6690,alto,No
271,9.04,29,156.00,8.26,22.57,0.6680,alto,No
272,9.08,28,156.00,8.29,22.92,0.6690,alto,No
273,9.11,26,162.00,8.17,20.28,0.6630,alto,No
274,9.14,24,162.00,8.51,22.39,0.6670,alto,No
275,9.18,25,162.00,8.82,22.34,0.6650,alto,No
276,9.21,27,162.00,8.86,22.30,0.6650,alto,No
277,9.24,28,162.00,8.86,22.58,0.6660,alto,No
278,9.28,24,156.00,8.91,22.56,0.6660,alto,No
279,9.31,26,156.00,9.38,22.50,0.6630,alto,No
280,9.34,28,156.00,9.39,22.50,0.6630,alto,No
281,9.38,25,144.00,9.48,22.46,0.6630,alto,No
282,9.41,27,150.00,9.51,22.45,0.6630,alto,No
283,9.44,28,144.00,9.60,23.03,0.6640,alto,No
284,9.48,29,144.00,9.47,22.89,0.6640,alto,No
285,9.51,26,144.00,9.62,21.95,0.6610,alto,No
286,9.54,26,150.00,9.86,21.89,0.6600,alto,No
287,9.58,26,150.00,9.30,21.84,0.6620,alto,No
288,9.61,27,150.00,9.07,23.91,0.6680,alto,No
289,9.64,27,144.00,9.28,23.89,0.6670,alto,No
290,9.68,30,138.00,9.38,23.77,0.6660,alto,No
291,9.71,32,144.00,9.73,23.72,0.6650,alto,No
292,9.74,31,144.00,9.53,23.71,0.6660,alto,No
293,9.78,30,144.00,9.66,23.67,0.6650,alto,No
294,9.81,31,150.00,9.56,21.94,0.6610,alto,No
295,9.84,32,144.00,9.40,21.49,0.6610,alto,No
296,9.88,28,144.00,9.71,21.38,0.6590,alto,No
297,9.91,29,144.00,9.71,21.37,0.6590,alto,No
298,9.94,29,144.00,9.73,21.27,0.6590,alto,No
299,9.98,28,144.00,9.82,18.99,0.6530,alto,No
300,10.01,30,150.00,9.77,20.99,0.6580,alto,No
301,10.04,34,138.00,9.71,25.06,0.6680,alto,No
302,10.08,30,144.00,9.28,24.56,0.6690,alto,No
303,10.11,29,150.00,9.84,21.21,0.6580,alto,No
304,10.14,28,144.00,9.69,21.16,0.6590,alto,No
305,10.18,27,144.00,9.67,21.12,0.6590,alto,No
306,10.21,28,144.00,9.53,24.76,0.6680,alto,No
307,10.24,27,150.00,9.45,24.71,0.6680,alto,No
308,10.28,28,156.00,10.20,20.92,0.6560,alto,No
309,10.31,28,150.00,10.15,20.88,0.6560,alto,No
310,10.34,29,150.00,10.21,20.82,0.6560,alto,No
311,10.38,29,156.00,10.07,21.38,0.6580,alto,No
312,10.41,26,156.00,9.85,24.49,0.6660,alto,No
313,10.44,28,156.00,9.86,24.43,0.6660,alto,No
314,10.48,30,150.00,9.95,24.34,0.6650,alto,No
315,10.51,29,162.00,10.70,24.26,0.6620,alto,No
316,10.54,30,174.00,10.79,21.36,0.6550,alto,No
317,10.58,27,174.00,10.57,20.02,0.6530,alto,No
318,10.61,27,168.00,10.48,20.00,0.6530,alto,No
319,10.64,29,168.00,10.28,20.29,0.6550,alto,No
320,10.68,29,168.00,10.46,20.20,0.6540,alto,No
321,10.71,28,168.00,10.42,20.16,0.6540,alto,No
322,10.74,28,162.00,10.08,20.15,0.6550,alto,No
323,10.78,30,156.00,10.52,21.35,0.6560,alto,No
324,10.81,28,156.00,10.32,20.02,0.6540,alto,No
325,10.84,29,150.00,10.22,19.94,0.6540,alto,No
326,10.88,27,156.00,10.54,19.90,0.6530,alto,No
327,10.91,29,162.00,10.49,19.86,0.6530,alto,No
328,10.94,27,156.00,10.26,19.79,0.6530,alto,No
329,10.98,26,144.00,10.12,23.44,0.6630,alto,No
330,11.01,27,144.00,10.42,19.62,0.6520,alto,No
331,11.04,29,150.00,10.72,23.45,0.6600,alto,No
332,11.08,30,144.00,10.57,19.54,0.6520,alto,No
333,11.11,30,138.00,10.44,19.49,0.6520,alto,No
334,11.14,28,132.00,10.48,19.40,0.6520,alto,No
335,11.18,29,126.00,10.57,19.33,0.6510,alto,No
336,11.21,31,126.00,10.10,21.34,0.6580,alto,No
337,11.24,31,132.00,10.19,21.34,0.6570,alto,No
338,11.28,34,138.00,12.57,22.00,0.6490,alto,No
339,11.31,31,144.00,11.36,21.98,0.6540,alto,No
340,11.34,28,144.00,12.12,19.61,0.6450,alto,No
341,11.38,29,150.00,11.87,21.84,0.6520,alto,No
342,11.41,31,144.00,11.81,23.15,0.6550,alto,No
343,11.44,31,144.00,11.74,23.08,0.6550,alto,No
344,11.48,32,144.00,11.76,23.00,0.6550,alto,No
345,11.51,29,150.00,11.77,22.82,0.6540,alto,No
346,11.54,30,138.00,12.01,22.77,0.6530,alto,No
347,11.58,27,138.00,11.26,22.67,0.6560,alto,No
348,11.61,26,138.00,11.02,22.55,0.6570,alto,No
349,11.64,26,132.00,10.63,21.51,0.6560,alto,No
350,11.68,27,132.00,10.77,22.37,0.6570,alto,No
351,11.71,29,132.00,10.74,22.22,0.6570,alto,No
352,11.75,27,132.00,10.67,22.14,0.6570,alto,No
353,11.78,29,132.00,10.66,22.08,0.6570,alto,No
354,11.81,27,132.00,10.93,22.03,0.6560,alto,No
355,11.85,28,132.00,10.98,21.96,0.6560,alto,No
356,11.88,28,132.00,11.14,21.92,0.6550,alto,No
357,11.91,29,132.00,11.50,21.86,0.6530,alto,No
358,11.95,29,138.00,11.73,21.79,0.6520,alto,No
359,11.98,29,138.00,11.80,21.33,0.6510,alto,No
360,12.01,31,132.00,11.82,21.61,0.6510,alto,No
361,12.05,31,132.00,11.91,21.54,0.6510,alto,No
362,12.08,30,126.00,12.02,21.48,0.6500,alto,No
363,12.11,31,126.00,11.99,21.43,0.6500,alto,No
364,12.15,29,126.00,12.08,21.32,0.6490,alto,No
365,12.18,32,126.00,12.09,21.32,0.6490,alto,No
366,12.21,31,126.00,11.90,24.49,0.6580,alto,No
367,12.25,30,126.00,11.83,21.33,0.6500,alto,No
368,12.28,33,138.00,11.88,24.40,0.6570,alto,No
369,12.31,35,120.00,10.60,24.33,0.6630,alto,No
370,12.35,31,114.00,9.68,23.47,0.6640,alto,No
371,12.38,31,114.00,9.73,23.77,0.6650,alto,No
372,12.41,30,114.00,9.13,23.74,0.6670,alto,No
373,12.45,31,114.00,8.86,23.74,0.6680,alto,No
374,12.48,31,114.00,8.86,23.44,0.6680,alto,No
375,12.51,34,108.00,8.35,24.04,0.6710,alto,No
376,12.55,30,108.00,8.30,23.34,0.6700,alto,No
377,12.58,31,102.00,7.86,23.74,0.6730,alto,No
378,12.61,32,108.00,7.91,23.33,0.6710,alto,No
379,12.65,31,102.00,8.17,23.34,0.6700,alto,No
380,12.68,30,102.00,8.31,23.32,0.6700,alto,No
381,12.71,29,108.00,8.31,20.27,0.6630,alto,No
382,12.75,28,108.00,8.39,20.19,0.6620,alto,No
383,12.78,27,108.00,8.59,20.16,0.6610,alto,No
384,12.81,29,108.00,8.56,20.11,0.6610,alto,No
385,12.85,30,108.00,8.61,20.02,0.6610,alto,No
386,12.88,27,114.00,8.69,19.90,0.6600,alto,No
387,12.91,27,114.00,8.58,19.86,0.6610,alto,No
388,12.95,28,114.00,9.18,23.45,0.6660,alto,No
389,12.98,26,114.00,8.93,23.09,0.6670,alto,No
390,13.01,26,114.00,8.93,23.10,0.6670,alto,No
391,13.05,28,114.00,8.95,23.10,0.6670,alto,No
392,13.08,28,126.00,8.94,23.34,0.6670,alto,No
393,13.11,27,126.00,8.98,23.10,0.6660,alto,No
394,13.15,29,120.00,8.95,23.10,0.6670,alto,No
395,13.18,30,120.00,8.99,23.36,0.6670,alto,No
396,13.21,28,114.00,8.70,18.97,0.6580,alto,No
397,13.25,28,108.00,8.44,23.12,0.6690,alto,No
398,13.28,27,108.00,8.51,23.37,0.6690,alto,No
399,13.31,30,114.00,8.80,23.11,0.6670,alto,No
400,13.35,29,114.00,8.85,23.37,0.6680,alto,No
401,13.38,29,120.00,8.85,23.10,0.6670,alto,No
402,13.41,30,120.00,9.05,23.10,0.6660,alto,No
403,13.45,30,120.00,9.16,23.11,0.6660,alto,No
404,13.48,30,120.00,9.18,23.11,0.6660,alto,No
405,13.51,28,120.00,9.19,23.43,0.6660,alto,No
406,13.55,29,120.00,9.09,23.36,0.6670,alto,No
407,13.58,29,120.00,9.02,23.36,0.6670,alto,No
408,13.61,27,120.00,8.99,23.36,0.6670,alto,No
409,13.65,25,120.00,9.17,23.37,0.6660,alto,No
410,13.68,23,114.00,9.11,23.36,0.6670,alto,No
411,13.71,25,114.00,8.99,23.36,0.6670,alto,No
412,13.75,26,114.00,8.98,23.47,0.6670,alto,No
413,13.78,25,114.00,9.02,18.34,0.6550,alto,No
414,13.81,25,114.00,9.04,23.47,0.6670,alto,No
415,13.85,24,120.00,9.07,23.72,0.6680,alto,No
416,13.88,25,114.00,8.80,23.36,0.6680,alto,No
417,13.91,26,114.00,8.56,23.36,0.6690,alto,No
418,13.95,25,114.00,8.43,23.70,0.6700,alto,No
419,13.98,24,114.00,8.73,23.07,0.6670,alto,No
420,14.01,20,108.00,8.52,23.33,0.6690,alto,No
421,14.05,21,108.00,8.67,23.33,0.6680,alto,No
422,14.08,23,108.00,8.62,23.68,0.6690,alto,No
