Frame,Tiempo(s),NumVehiculos,Flujo(veh/min)_REAL,Velocidad(km/h)_REAL,LongitudCola(m),ICV_REAL,Clasificacion,Emergencia
149,6.21,2,24.00,63.66,0.06,0.2170,bajo,No
150,6.26,2,24.00,63.34,0.08,0.2170,bajo,No
151,6.30,1,24.00,62.35,0.00,0.2170,bajo,No
152,6.34,2,24.00,61.88,0.06,0.2180,bajo,No
153,6.38,1,24.00,60.88,0.00,0.2180,bajo,No
154,6.42,1,24.00,60.84,0.00,0.2180,bajo,No
155,6.46,1,24.00,60.47,0.00,0.2180,bajo,No
156,6.51,1,24.00,60.79,0.00,0.2180,bajo,No
157,6.55,1,24.00,60.55,0.00,0.2180,bajo,No
158,6.59,1,24.00,60.70,0.00,0.2180,bajo,No
159,6.63,1,24.00,61.20,0.00,0.2180,bajo,No
160,6.67,1,18.00,32.42,0.00,0.2900,bajo,No
161,6.71,1,18.00,33.13,0.00,0.2860,bajo,No
162,6.76,1,18.00,34.54,0.00,0.2800,bajo,No
163,6.80,1,18.00,34.22,0.00,0.2810,bajo,No
164,6.84,1,18.00,33.76,0.00,0.2830,bajo,No
165,6.88,1,18.00,33.82,0.00,0.2830,bajo,No
166,6.92,1,12.00,13.42,0.00,0.3340,medio,No
167,6.96,1,12.00,12.34,0.00,0.3420,medio,No
168,7.01,1,12.00,10.15,0.00,0.3610,medio,No
169,7.05,1,12.00,7.36,0.00,0.3930,medio,No
170,7.09,2,12.00,6.24,9.48,0.4330,medio,No
171,7.13,2,12.00,4.59,9.54,0.4710,medio,No
172,7.17,2,12.00,5.09,9.43,0.4570,medio,No
173,7.21,1,18.00,5.58,0.00,0.5220,medio,No
174,7.26,2,18.00,30.71,9.07,0.3200,medio,No
175,7.30,2,18.00,34.40,8.83,0.3010,medio,No
176,7.34,1,18.00,35.09,0.00,0.2770,bajo,No
177,7.38,2,18.00,34.94,8.71,0.2980,bajo,No
178,7.42,1,18.00,34.93,0.00,0.2780,bajo,No
179,7.46,1,18.00,35.65,0.00,0.2740,bajo,No
180,7.51,2,18.00,36.38,9.11,0.2920,bajo,No
181,7.55,1,18.00,35.59,0.00,0.2740,bajo,No
182,7.59,2,18.00,35.13,3.97,0.2860,bajo,No
183,7.63,1,12.00,50.35,0.00,0.1510,bajo,No
184,7.67,2,12.00,45.58,0.07,0.1720,bajo,No
185,7.71,3,12.00,43.46,7.86,0.2000,bajo,No
186,7.76,2,12.00,43.54,7.33,0.1980,bajo,No
187,7.80,2,12.00,42.46,7.27,0.2030,bajo,No
188,7.84,1,12.00,48.06,0.00,0.1610,bajo,No
189,7.88,1,12.00,54.12,0.00,0.1340,bajo,No
190,7.92,1,12.00,55.66,0.00,0.1280,bajo,No
191,7.96,1,12.00,57.63,0.00,0.1190,bajo,No
192,8.01,3,12.00,59.30,11.65,0.1390,bajo,No
193,8.05,5,12.00,59.15,11.42,0.1390,bajo,No
194,8.09,3,12.00,58.01,9.46,0.1400,bajo,No
195,8.13,2,18.00,59.60,9.60,0.1880,bajo,No
